title,artist,albumTitle,bpm,key,comment,year,location
Bizarre Love Triangle,New Order,Brotherhood [Collector's Edition],118.501572,11D,"Electronic Dance; Alternative Dance; shimmering synth arpeggios, propulsive bassline, melancholic vocals over uplifting production; Manchester post-punk meets dancefloor euphoria; UK, mid-80s.",1986,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Bizarre Love Triangle.mp3
Blue Monday - 2016 Remaster,New Order,Singles (Remastered),130.268524,12M,"Electronic Dance; Post-Punk/Synth-Funk; iconic sequenced bassline, pounding Oberheim drums, haunting synth stabs, hypnotic drum machine groove; pioneering underground club culture; Manchester, UK, 1983.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Blue Monday - 2016 Remaster.mp3
Burning Down the House,Talking Heads,Burning Down the House / I Get Wild / Wild Gravity,205.486328,11M,"New Wave; Funk Rock; propulsive polyrhythmic groove, angular guitar stabs, call-and-response vocals, frenetic energy; Manhattan art-punk meets danceable urgency; New York, 1983.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Burning Down the House.mp3
Cars,Gary Numan,The Pleasure Principle,130.484268,12M,"Synth-pop; New Wave; icy analog synthesizers, robotic vocals, minimalist electronic pulses, pioneering synth-driven production; dystopian British futurism meets dancefloor innovation; UK, late 70s new wave revolution.",1979,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Cars.mp3
Don't Stop The Dance,Bryan Ferry,Boys And Girls (Remastered 1999),127.319595,1M,"Sophisti-Pop; Art Pop; lush orchestration, crisp programmed beats, sultry saxophone hooks; glamorous metropolitan nightlife with cinematic flair; UK, mid-1980s.",1985,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Don't Stop The Dance.mp3
Don't You Want Me,The Human League,Dare!,117.635826,1M,"New Wave; Synth-pop; infectious synth bassline, dual vocal interplay, shimmering arpeggios, punchy electronic drums; iconic Sheffield sound defining early MTV era; UK, 1981.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Don't You Want Me.mp3
Fade To Grey,Visage,Visage,112.414154,1M,"New Wave; Synth-pop; icy synthesizers, robotic vocals, melancholic bassline, sparse electronic drums; moody post-punk sophistication meets art-school elegance; UK, early 1980s.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Fade To Grey.mp3
Girls on Film - 2010 Remaster,Duran Duran,Duran Duran (Deluxe Edition),132.945038,1M,"New Wave; Synth-pop; pulsing bass lines, shimmering synths, punchy drums, provocative lyrics; glamorous UK new romantic movement with fashion-forward attitude; Birmingham, 1981.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Girls on Film - 2010 Remaster.mp3
I Can't Go for That (No Can Do),Daryl Hall & John Oates,Private Eyes (Expanded Edition),110.548347,10M,"R&B; Blue-eyed soul; minimalist bassline groove, iconic synth stabs, laid-back drum machine pulse; smooth late-night radio vibes; Philadelphia, 1981.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/I Can't Go for That (No Can Do).mp3
Let's Dance - 2018 Remaster,David Bowie,Let's Dance (2018 Remaster),113.928185,8M,"Dance Rock; Funk Rock; crisp Nile Rodgers guitar licks, punchy horn stabs, arena-ready groove with pristine modern polish; iconic crossover anthem; UK/US, 1983.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Let's Dance - 2018 Remaster.mp3
Love Action (I Believe In Love),The Human League,Dare!,121.737762,11M,"New Wave; Synth-pop; shimmering synth hooks, punchy electronic drums, dual male-female vocals; Sheffield's electronic pop revolution meets dancefloor sophistication; UK, 1981.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Love Action (I Believe In Love).mp3
Love Is The Drug,Roxy Music,Siren (Remastered),124.391769,1M,"Glam Rock; Art Rock; funky bass groove, sultry saxophone hooks, polished studio sheen; sophisticated dancefloor seduction meets art-school swagger; UK, mid-70s.",1975,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Love Is The Drug.mp3
Mad World,Tears For Fears,The Hurting,118.787964,3M,"New Wave; Synth-pop; melancholic piano-driven synth layers, sparse drum machine beats, haunting minor-key vocals; introspective British art-pop movement; UK, mid-1980s.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Mad World.mp3
Need You Tonight,INXS,Kick 30,108.676498,10M,"Rock; Funk Rock; slithering bass groove, sparse drum machine, whispered vocals, minimalist guitar stabs; seductive after-hours swagger with new wave edge; Australia, late 80s.",1987,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Need You Tonight.mp3
Once in a Lifetime - 2005 Remaster,Talking Heads,Remain in Light (Deluxe Version),116.531128,12M,"New Wave; Art Funk; polyrhythmic African-inspired percussion, pulsing bass groove, David Byrne's anxious spoken vocals over hypnotic loops; cerebral downtown Manhattan art-rock experimentation; New York, 1980-81.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Once in a Lifetime - 2005 Remaster.mp3
People Are People,Depeche Mode,Some Great Reward (Deluxe),119.966057,1M,"Electronic Body Music; Dark Synth-pop; pounding industrial drums, menacing bass synth, anthemic vocals with raw edge; politically-charged dancefloor rebellion; UK, mid-80s.",1984,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/People Are People.mp3
Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),123.611214,1M,"Post-Punk; Art Rock; jittery bass groove, deadpan vocals, rhythmic tension building into explosive chorus; anxious New York art scene energy; New York, 1977.",1977,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Psycho Killer - 2005 Remaster.mp3
Relax,Frankie Goes To Hollywood,Welcome To The Pleasuredome,114.92984,2M,"New Wave; Synthpop/Dance-Rock; pulsing bass sequencer, lush atmospheric synths, provocative whispered vocals, glossy Trevor Horn production; hedonistic club anthem with controversial edge; UK, 1983.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Relax.mp3
She Blinded Me With Science,Thomas Dolby,The Golden Age Of Wireless,128.649933,2M,"New Wave; Synth-pop; quirky synth stabs, frantic percussion breaks, spoken-word interludes, angular electronics; playful mad-scientist energy meets art-school experimentation; UK, early 80s.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/She Blinded Me With Science.mp3
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,Sweet Dreams (Are Made Of This),125.167213,10M,"Synth-pop; New Wave; hypnotic arpeggiated bassline, stark electronic drums, haunting vocal hooks; dark yet anthemic British synthwave masterpiece; UK, 1983.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Sweet Dreams (Are Made of This) - Remastered.mp3
Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,144.680923,11M,"Synth-pop; Dark Wave; pulsing bassline, mechanical beats, anguished vocals over stark electronic textures; British new romantic club anthems; UK, 1981.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Tainted Love.mp3
The Look Of Love - Pt. 1,ABC,The Lexicon Of Love,120.954605,1M,"New Wave; Sophisti-pop; lush orchestral strings, golden horn arrangements, silk-smooth vocals, cinematic production; elegant cocktail lounge romance with Lexicon shimmer; Sheffield, 1982.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/The Look Of Love - Pt. 1.mp3
Whip It,DEVO,Freedom Of Choice,157.942169,3D,"New Wave; Post-punk, Art Rock; robotic synth stabs, propulsive mechanical beats, quirky angular guitars; subversive American underground breaking into MTV consciousness; Akron Ohio, 1980.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Whip It.mp3
Bani,Susso,Keira,96.499535,1M,"West African Griot Music; Kora-led Afro-fusion; intricate plucked kora melodies, hypnotic polyrhythms, organic percussion layers; meditative desert gathering with ancestral storytelling energy; Gambian/West African tradition, contemporary recording.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Bani.mp3
Calango Fumando Palha - Lunar Version,Thomash,Moon Faze,80.000549,11D,"Downtempo; Organic House; hypnotic percussion, earthy textures, smoky atmospherics, laid-back grooves; sun-drenched Brazilian beach club vibes; Brazil, 2020s.",2022,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Calango Fumando Palha - Lunar Version.mp3
Candomble - Dreems Remix,Thomash,Candomble,110.000084,7M,"Afro House; Tribal House; hypnotic percussion layers, rolling bass grooves, ceremonial drum patterns; sultry underground warehouse energy; Brazil/Europe fusion, 2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Candomble - Dreems Remix.mp3
Danza de Vision,Nicola Cruz,Cantos de Vision,106.999962,12D,"Downtempo; Andean Electronica; ceremonial flutes, organic percussion, deep sub-bass, ancestral textures; mystical South American ritual meets contemporary dancefloor; Ecuador, mid-2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Danza de Vision.mp3
Isle of Horns,The Orb,No Sounds Are Out of Bounds (Deluxe),105.000175,11M,"Ambient Dub; Downtempo Electronic; spacious atmospheres, deep bass pulses, ethereal textures, hypnotic rhythms; blissed-out chillout room vibes; UK, likely early-to-mid 90s.",1993,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Isle of Horns.mp3
Jungle Junk - Original Mix,Peter Power,Jungles Of Ufordia,85.000214,7D,"Breakbeat; Downtempo Jungle; chopped Amen breaks, deep sub-bass, atmospheric pads, half-time groove; hazy after-hours comedown vibes; UK, mid-90s influence.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Jungle Junk - Original Mix.mp3
M'PasiI Ya M'Pamba,Zazou Bikaye,Noir Et Blanc,186.548218,8M,"Experimental Electronic; Afro-Futurism; hypnotic polyrhythms, processed Congolese vocals, sparse electronic textures, tribal percussion meets avant-garde production; cross-cultural collaboration between Central African traditions and European experimentalism; Congo/France, late 1980s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/M'PasiI Ya M'Pamba.mp3
Masimbabele,The Unknown Cases,Cuba,92.032669,5M,"Afro House; Spiritual Afro Tech; hypnotic log drums, ancestral vocal chants, deep bassline groove, organic percussion layers; transcendent African dancefloor ritual energy; South Africa, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Masimbabele.mp3
Mori Baka,Peter Power,Afro Damba,104.999367,12M,"Afrobeat; Afro-House; hypnotic percussion, pulsing bass groove, rhythmic vocal chants, organic drums; sun-drenched festival energy meets spiritual dance ritual; West African influence, 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Mori Baka.mp3
Oba,Ohxala,Dona Cuica,94.999893,11M,"Afro House; Organic House; hypnotic percussion, warm bass grooves, ethereal vocal chants, lush atmospheric pads; sunset ritual dance floor energy; South African-inspired European production, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Oba.mp3
Pfad des Windes,Wolf Müller,Selectors 002 - Young Marco,94.999863,1D,"Balearic Beat; Ambient Dub; shimmering pads, organic percussion, hypnotic arpeggios; sun-drenched Mediterranean chill-out rooms; Germany, early 2010s.",2012,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Pfad des Windes.mp3
Sabbat,Rafaele Castiglione,Urban Cosmonaut Tales,168.000031,8M,"Hardgroove Techno; Industrial Techno; relentless percussion, dark metallic textures, hypnotic loops, raw mechanical energy; peak-time warehouse intensity; European underground, late 2010s/early 2020s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Sabbat.mp3
Suave Y Caliente,Konk,The Definitive Collection,111.436386,1D,"Latin House; Afro-Latin; percussion-heavy grooves, rhythmic congas, warm bass lines, tropical flair; sunset beach club energy with sensual dancefloor heat; likely 2010s-2020s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Afro Slow Interlude/Suave Y Caliente.mp3
Another Silent Way (Film Edit),Underworld,Another Silent Way (Film Edit),124.999771,10M,"Progressive House; Cinematic Techno; hypnotic arpeggios, layered atmospherics, pulsing bassline, ethereal pads; introspective after-hours journey through electronic soundscapes; UK, late 90s.",1999,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Another Silent Way (Film Edit).mp3
Hades (feat. Jinadu) - [Olivier Giacomotto Remix],"Saccao,Iberian Muse,Jinadu,Olivier Giacomotto",Hades (feat. Jinadu),121.999817,12M,"Progressive House; Melodic Techno; driving bassline, hypnotic arpeggios, ethereal vocals, cinematic breakdown; dark sophisticated afterhours energy; European underground, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Hades (feat. Jinadu) - [Olivier Giacomotto Remix].mp3
Head And Shoulders,"Leftfield,Sleaford Mods",Alternative Light Source,104.999725,8M,"Electronica; Leftfield Bass; gritty spoken-word vocals over menacing bass rumbles, industrial breaks, caustic UK attitude; raw warehouse tension meets post-punk dancefloor aggression; UK collaboration.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Head And Shoulders.mp3
I Feel Space,Lindstrøm,I Feel Space,122.021858,9M,"Space Disco; Cosmic Disco; shimmering arpeggios, pulsating analog synths, hypnotic filtered grooves; interstellar Norwegian dance odyssey; Norway, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/I Feel Space.mp3
Koladi-Ola - Remastered 2005,Yello,Stella (Remastered 2005),132.428055,10M,"Electronic; Electro-Pop; punchy synth stabs, robotic vocals, quirky sampling, Swiss precision programming; playful avant-garde experimentation meets dancefloor functionality; Switzerland, mid-1980s.",1985,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Koladi-Ola - Remastered 2005.mp3
Pleasure & Pain - Jensen Interceptor Remix,"Djedjotronic,Miss Kittin,Jensen Interceptor",Pleasure & Pain (feat. Miss Kittin),127.0,4M,"Electro; Dark Electro; relentless acid basslines, industrial percussion, vampiric vocals, dystopian synth stabs; shadowy warehouse intensity meets kinky underground rave energy; Europe, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Pleasure & Pain - Jensen Interceptor Remix.mp3
Pollution,Skudge,Inertia #4,127.999611,1M,"Techno; Dub Techno; hypnotic atmospheric layers, deep reverberating bassline, sparse percussion, analog warmth; dark warehouse ritual at dawn; Sweden, early 2010s.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Pollution.mp3
Pretty Vape Machine,Von Party,Opium of the People,211.999527,12M,"Footwork; Juke; frenetic chopped vocals, aggressive bass stabs, hyper-kinetic percussion; underground Chicago club heat meets vaporwave aesthetics; Chicago, 2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/Pretty Vape Machine.mp3
You're So Special,"Tiga,Clarian",Stay Cool,120.999825,12M,"Electro House; Progressive House; hypnotic arpeggios, driving bassline, shimmering synth layers, seductive vocal processing; peak-time euphoria meets underground sophistication; Montreal/Berlin crossover, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bevs Hardcore Shakedown/You're So Special.mp3
1984-1985,L'Ultimo Arcano,Mutazione - Italian Electronic & New Wave Underground 1980 - 1988 compiled by Walls,64.822418,6D,"Darkwave; Coldwave; icy analog synthesizers, minimal drum machine patterns, melancholic atmosphere; dystopian Italian underground post-punk revival; Italy, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Blade Runner noise interlude/1984-1985.mp3
"A Lesson for the Future, Farewell to the Old Ways",Murcof,The Versailles Sessions,81.149254,6M,"Ambient; Electroacoustic; glacial digital atmospheres, sparse glitchy textures, orchestral string manipulation; contemplative minimal electronic soundscapes; Mexico, mid-2000s.",2002,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Blade Runner noise interlude/A Lesson for the Future, Farewell to the Old Ways.mp3"
Blade Runner,"Hans Zimmer,Benjamin Wallfisch",Blade Runner 2049 (Original Motion Picture Soundtrack),108.929771,1M,"Cinematic Electronica; Dystopian Soundscape; brooding synthesizers, atmospheric pads, tension-building orchestral swells; futuristic noir aesthetic meets immersive sci-fi storytelling; Hollywood, 2017.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Blade Runner noise interlude/Blade Runner.mp3
Flight to LAPD,"Hans Zimmer,Benjamin Wallfisch",Blade Runner 2049 (Original Motion Picture Soundtrack),179.995728,1M,"Electronic Score; Cinematic Synthwave; pulsing arpeggiated synths, dystopian atmosphere, orchestral tension building to breakneck tempo; futuristic neo-noir film soundtrack intensity; USA, 2017.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Blade Runner noise interlude/Flight to LAPD.mp3
Marsh Lantern,Logos,Imperial Flood,96.152122,4M,"Grime; Instrumental Grime; eerie synth textures, skeletal percussion, haunting melodic fragments, sparse low-end rumble; dystopian UK bass music experimentation; London, early 2010s.",2012,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Blade Runner noise interlude/Marsh Lantern.mp3
Wallace,"Hans Zimmer,Benjamin Wallfisch",Blade Runner 2049 (Original Motion Picture Soundtrack),72.838547,5M,"Cinematic Score; Orchestral Drama; sweeping strings, pounding percussion, heroic brass swells; epic blockbuster tension and triumph; Hollywood, 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Blade Runner noise interlude/Wallace.mp3
Black Is Black,Jungle Brothers,Warparty,117.533371,6D,"Hip Hop; Jazz Rap; swinging breakbeats, upright bass grooves, conscious lyricism, Afrocentric flavor; Native Tongues collective positivity; New York, late 80s golden era.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Black Is Black.mp3
Bust A Move,Young MC,The Replacements (Music From The Motion Picture),117.549126,1M,"Hip Hop; Golden Age Rap; funky piano stabs, infectious breakbeats, playful vocal delivery; feel-good party anthem with comedic dating advice; Los Angeles, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Bust A Move.mp3
Deee-Lite Theme,Deee-Lite,World Clique,99.06826,12M,"House; Nu-Groove/Acid House; playful acid basslines, funky breaks, psychedelic samples, infectious vocal chops; colorful underground NYC warehouse positivity; New York, late 80s/early 90s club euphoria.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Deee-Lite Theme.mp3
Doowutchyalike,Digital Underground,Sex Packets,108.860504,6M,"Hip-Hop; G-Funk/P-Funk Rap; funky bassline, playful samples, Parliament-inspired synths, laid-back groove; West Coast party anthem with irreverent humor; California, late 80s/early 90s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Doowutchyalike.mp3
Flap Your Wings,Nelly,Sweat,105.571617,4M,"Hip-Hop; Dirty South; brass-heavy bounce production, call-and-response hooks, crunk energy; strip club anthems meet trunk-rattling street certified; St. Louis, mid-2000s.",2004,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Flap Your Wings.mp3
Funky Cold Medina,Tone-Loc,Loc-ed After Dark (Expanded Edition),117.475082,9M,"Hip-Hop; Golden Age Rap; chopped guitar funk loop, booming 808 kicks, laid-back flow over stripped breakbeats; iconic party anthem from West Coast scene; Los Angeles, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Funky Cold Medina.mp3
Future Sound,Jurassic 5,Feedback,96.298813,9M,"Hip-Hop; Conscious/Alternative Rap; jazzy breaks, scratched vocal hooks, layered samples, boom-bap drums; socially aware underground cipher energy; Los Angeles, late 90s/early 2000s.",2000,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bouncing Hip Hop Fun/Future Sound.mp3
